Prevotellaceae UCG-003	Prevotellaceae NK3B31 group	Sutterella	Christensenellaceae R-7 group	UCG-005	Slackia	UCG-007	Terrisporobacter	[Eubacterium] hallii group	UCG-004	NK4A214 group	Lachnospiraceae NK4A136 group	Monoglobus	Prevotella	Treponema	Rikenellaceae RC9 gut group	Faecalibacterium	Anaerovibrio	[Eubacterium] xylanophilum group	[Ruminococcus] torques group	[Eubacterium] siraeum group	Alloprevotella	Catenibacterium	Clostridium sensu stricto 1	Butyricicoccus	Intestinimonas	Subdoligranulum	Roseburia	Ruminococcus	Family XIII AD3011 group	Solobacterium	Lachnospiraceae XPB1014 group	Prevotella_7	Prevotella_9	Lachnospiraceae ND3007 group	Coprococcus	Lactobacillus	UCG-009	Colidextribacter	Acidaminococcus	Parabacteroides	Allisonella	Blautia	HT002	Frisingicoccus	Ligilactobacillus	Sphaerochaeta	Romboutsia	Lachnospiraceae UCG-001	Oscillibacter	Streptococcus	Cellulosilyticum	Mitsuokella	Agathobacter	Bacteroides	p-1088-a5 gut group	Anaeroplasma	Marvinbryantia	Mogibacterium	Family XIII UCG-001	Lachnospiraceae UCG-010	Megamonas	[Eubacterium] nodatum group	Lachnospiraceae NK3A20 group	Lachnospiraceae FCS020 group	Incertae Sedis	Limosilactobacillus	Desulfovibrio	[Eubacterium] ruminantium group	Prevotellaceae UCG-001	Lachnospiraceae NK4B4 group	Holdemanella	Papillibacter	Lachnospiraceae AC2044 group	Phascolarctobacterium	Fibrobacter	Akkermansia	UCG-002	Olsenella	Shuttleworthia	Pygmaiobacter	Dialister	Acetitomaculum	Campylobacter	Anaerosporobacter	Anaerostipes	Collinsella	Sarcina	[Eubacterium] eligens group	Corynebacterium	[Ruminococcus] gauvreauii group	Megasphaera	Candidatus Saccharimonas	Lachnospira	Dorea	Candidatus Soleaferrea	Oribacterium	Helicobacter	Oscillospira	Mailhella	Negativibacillus	Succinivibrio	Peptococcus	UCG-003	Lachnoclostridium	[Eubacterium] ventriosum group	Anaerococcus	Enterorhabdus	Libanicoccus	Turicibacter	XBB1006	UCG-008	Intestinibacter	Fusicatenibacter	28-4	Howardella	Paludicola	Tyzzerella	UCG-001	Lachnospiraceae UCG-002	Lachnospiraceae UCG-007	Lachnospiraceae UCG-003	Bifidobacterium	Butyrivibrio	Pseudobutyrivibrio	Catenisphaera	Prevotellaceae UCG-004	[Eubacterium] brachy group	GCA-900066575	Lachnospiraceae UCG-004	dgA-11 gut group	Erysipelotrichaceae UCG-006	Erysipelotrichaceae UCG-003	[Eubacterium] saphenum group	[Ruminococcus] gnavus group	Fournierella	Escherichia-Shigella	[Eubacterium] fissicatena group	[Anaerorhabdus] furcosa group	Lachnospiraceae UCG-009	Paraeggerthella	Selenomonas	Senegalimassilia	FD2005	Veillonella	Clostridium sensu stricto 6	CAG-352	CAG-56	Candidatus Stoquefichus
6	32	2	1148	1309	6	5	3501	274	1	575	69	78	93	160	28	340	89	125	18	36	34	123	10156	237	14	820	326	918	302	437	42	37	828	247	2081	13073	61	28	2	5	12	1047	2768	1	199	5	102	31	87	22133	7	5	860	5	1	2	370	123	103	4	0	9	76	107	50	35	13	126	1	78	343	5	232	495	0	3	241	75	90	1	239	16	10	143	162	220	64	2	10	201	331	5	2	507	78	209	1	20	0	5	3	135	3	19	14	6	56	11	442	18	65	237	46	0	0	13	1	0	19	5	1	2	0	2	3	10	0	1	14	7	13	2	1	0	16	3	2	9	3	50	0	11	1	1	2	28	3	0
488	275	63	2789	1814	12	11	4030	356	103	1058	273	218	821	201	419	101	107	45	560	141	3966	235	7479	105	85	495	231	790	688	193	37	20	1529	141	1229	1628	228	87	0	416	0	1013	973	332	92	36	1256	26	537	10675	37	5	476	650	87	35	302	344	18	14	1	260	12	145	208	22	96	182	227	92	405	19	632	923	22	11	750	28	24	21	3	17	58	18	24	167	10	9	9	148	30	6	38	228	211	243	12	119	5	240	34	30	18	46	7	35	27	4	1846	53	58	662	23	3	15	29	1	0	2	25	3	61	3	2	6	9	2	20	14	56	4	2	0	0	122	1174	8	22	22	19	0	12	0	58	2	0	80	0
0	8	1	245	220	19	6	2386	410	0	150	115	57	5	12	3	357	22	35	42	50	19	121	7185	113	29	1188	118	347	230	424	0	18	287	257	1324	21555	11	7	21	4	5	1017	3756	2	61	1	174	9	66	18751	8	0	1466	1	0	0	558	203	31	9	0	109	89	91	83	68	6	61	0	10	316	4	2	266	0	0	61	90	74	2	59	9	5	0	60	229	1	3	1	303	391	2	1	215	11	315	3	20	0	0	2	119	2	7	16	3	50	23	3086	0	22	810	98	0	14	4	3	0	1	1	1	9	1	6	0	0	8	2	3	4	7	4	0	0	7	0	3	8	0	46	0	46	0	0	0	28	20	0
9	45	1	1169	923	10	6	961	290	0	752	181	136	27	53	10	224	28	134	16	40	23	153	3045	65	57	741	531	692	228	202	108	10	381	99	2059	19380	11	36	1	2	0	603	3758	2	51	0	57	65	104	16626	5	1	1163	0	0	1	265	45	84	6	0	38	39	84	38	42	3	97	9	80	141	5	279	321	0	0	447	32	39	8	10	51	3	138	73	58	1	0	4	134	296	7	5	173	47	141	2	39	4	4	3	121	2	14	11	8	20	7	602	14	156	264	19	4	5	11	2	2	1	1	0	1	2	12	75	2	0	0	2	7	3	8	0	0	18	2	4	9	14	36	2	0	0	0	0	25	11	0
53	250	21	984	840	12	12	1060	244	13	658	242	128	399	142	237	668	482	538	25	76	204	393	2938	129	51	781	115	1094	249	282	63	189	3489	207	2036	21896	66	61	2	38	3	928	8044	10	111	30	42	2	173	11550	40	12	692	1	37	16	221	154	77	17	0	23	52	102	50	119	34	102	7	31	253	4	324	668	9	0	600	40	50	2	132	6	33	84	78	100	1	13	7	192	712	17	30	420	99	295	3	47	12	2	26	124	11	19	12	1	34	11	219	4	83	226	46	8	0	11	5	2	11	21	1	2	1	0	44	55	0	3	8	95	23	6	0	0	47	36	1	14	28	46	8	0	0	3	1	4	14	0
37	89	5	557	799	13	6	2452	453	10	338	54	113	238	112	86	649	239	224	79	67	142	175	10431	177	90	1601	457	643	211	553	30	120	1925	356	2813	15386	20	55	14	5	6	1767	3733	0	248	12	93	23	181	15850	0	27	1558	2	13	7	423	100	74	12	0	35	114	141	84	182	22	126	9	64	427	5	113	531	2	0	295	74	111	3	469	17	41	32	280	119	0	7	10	441	1024	9	2	518	86	517	2	44	4	5	11	154	11	37	34	5	82	20	299	2	82	566	120	0	13	27	3	0	15	0	0	9	0	5	12	4	1	1	18	14	17	1	0	0	35	4	0	14	0	43	0	8	0	0	2	10	7	0
65	171	18	639	961	21	8	918	304	24	256	60	51	364	97	143	308	159	94	106	64	236	251	2320	207	6	1380	121	426	111	426	61	111	3322	269	3742	19864	212	81	4	55	2	1540	8337	237	240	8	84	27	179	6015	1	13	905	10	17	12	339	101	37	19	1	20	24	83	33	688	21	212	29	41	325	4	248	667	12	0	273	55	51	8	45	15	22	8	173	113	31	5	0	393	428	3	4	337	114	434	13	42	6	4	14	73	6	40	9	2	51	8	348	8	89	163	257	3	0	11	3	6	3	0	2	3	3	5	10	2	0	1	32	17	8	1	0	0	68	8	26	19	0	44	2	1	0	27	2	1	13	1
25	99	11	4966	2470	5	14	8679	307	30	1245	88	189	87	229	224	35	10	16	25	53	58	65	24514	7	38	145	84	1350	936	65	232	8	123	71	323	1337	208	135	0	104	0	131	620	67	41	41	1201	11	399	4168	14	0	84	13	61	31	128	231	36	2	0	57	7	84	122	2	33	58	57	117	76	4	60	711	2	60	1516	15	21	19	3	69	35	20	11	82	25	4	179	60	28	14	5	156	180	49	2	39	11	9	4	73	0	35	1	60	16	2	4707	45	16	695	16	4	3	10	0	1	16	55	0	5	0	17	77	15	0	7	13	52	1	1	0	0	76	7	7	24	5	29	1	6	0	1	16	0	20	0
1258	4612	61	378	1508	3	5	366	144	39	208	330	47	709	409	698	709	2493	379	104	76	2317	18	1515	86	43	802	631	559	138	255	18	30	3971	191	1104	22524	54	86	2	275	0	1256	4144	1646	97	36	49	71	230	679	3	12	3050	16	11	85	711	197	38	63	0	271	9	172	93	1858	67	305	701	17	463	3	189	554	37	10	106	12	108	15	1	19	285	29	268	57	7	42	3	354	206	8	108	74	44	384	21	243	22	22	50	29	11	146	12	5	2	0	186	23	343	168	102	30	27	70	17	19	7	26	11	1	0	50	92	38	0	40	47	36	3	29	0	0	104	4	24	11	10	32	0	0	0	140	1	0	5	0
5	55	3	1659	1965	5	8	1185	263	2	583	323	131	39	138	27	178	118	316	9	55	47	138	4370	47	7	831	216	861	355	190	136	8	665	169	2793	18360	46	49	7	5	0	805	4933	29	117	2	85	43	135	12183	3	3	738	0	0	4	148	335	116	18	0	56	119	42	77	71	11	43	15	76	211	7	270	609	0	25	557	31	57	2	51	40	10	20	351	70	0	0	1	171	442	8	2	246	33	172	0	70	5	0	2	89	1	31	4	3	32	5	597	27	288	179	39	24	3	7	8	0	8	0	0	1	1	10	160	3	0	3	6	7	3	1	60	0	21	11	31	8	5	65	0	0	6	20	0	6	7	0
